date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:27	8348/8348	---M--	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2017:39:55%20GMT	https://doug.meme/	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/index.html	(from )
20:57:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2000:57:27%20GMT	https://doug.meme/robots.txt		(from )
20:57:28	15698/15698	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202024%2010:35:15%20GMT	https://doug.meme/css/main.css	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/css/main.css	(from https://doug.meme/)
20:57:29	434/434	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jun%202024%2015:15:50%20GMT	https://doug.meme/js/main.js	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/js/main.js	(from https://doug.meme/)
20:57:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2000:57:29%20GMT	https://doug.meme/node_modules/aos/dist/aos.css	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/node_modules/aos/dist/aos.css	(from https://doug.meme/)
20:57:32	86418/86418	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Aug%202024%2013:47:12%20GMT	https://doug.meme/images/favicon.jpg	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/favicon.jpg	(from https://doug.meme/)
20:57:32	44742/44742	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Aug%202024%2012:50:40%20GMT	https://doug.meme/images/logo.png	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/logo.png	(from https://doug.meme/)
20:57:34	572666/572666	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Aug%202024%2014:09:49%20GMT	https://doug.meme/images/pfp.png	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/pfp.png	(from https://doug.meme/)
20:57:34	2235/2235	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2019:10:30%20GMT	https://doug.meme/images/x.png	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/x.png	(from https://doug.meme/)
20:57:35	1899/1899	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2019:10:30%20GMT	https://doug.meme/images/telegram.png	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/telegram.png	(from https://doug.meme/)
20:57:37	145869/145869	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Aug%202024%2012:01:25%20GMT	https://doug.meme/images/about.jpg	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/about.jpg	(from https://doug.meme/)
20:57:38	117360/117360	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Aug%202024%2012:01:31%20GMT	https://doug.meme/images/trading.jpg	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/trading.jpg	(from https://doug.meme/)
20:57:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2000:57:37%20GMT	https://doug.meme/images/atwork-white.webp	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/atwork-white.webp	(from https://doug.meme/)
20:57:40	383036/383036	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Aug%202024%2014:25:42%20GMT	https://doug.meme/images/footer.png	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/footer.png	(from https://doug.meme/)
20:57:40	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2000:57:40%20GMT	https://doug.meme/node_modules/aos/dist/aos.js	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/node_modules/aos/dist/aos.js	(from https://doug.meme/)
20:57:42	101760/101760	---M--	200	added ('OK')	font/ttf	date:Sun,%2023%20Jun%202024%2015:15:48%20GMT	https://doug.meme/fonts/ponke.ttf	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/fonts/ponke.ttf	(from https://doug.meme/css/main.css)
20:57:43	172904/172904	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Aug%202024%2011:44:40%20GMT	https://doug.meme/images/bg.jpg	/Users/kashan/workspace/htdocs/doug.meme/httrack/doug.meme/images/bg.jpg	(from https://doug.meme/css/main.css)
